ID;Data
EQMRB-PRIME_TTC;1
EQMRB-PRIME_HT;-1
EQMRB-TAXE_TSA;-1
EQMRB-TAXE_PARAFISC;-1
EQMRB-CHRG_GST;-1
EQMRB-CHRG_GST_CP;1
EQMRB-COMM_TTC;-1
EQMRB-COMM_TTC_CP;1
EQADE-PRIME_TTC;1
EQADE-PRIME_HT;-1
EQADE-TAXE_TSA;-1
EQADE-CHRG_GST;1
EQADE-CHRG_GST_CP;-1
EQADE-COMM_TTC;1
EQADE-COMM_TTC_CP;-1
ENCMRB-PRIME_TTC_CP;-1
ENCMRBTTLBANQUE;1
ENCADE-PRIME_TTC_CP;-1
ENCADETTLBANQUE;1
ENC-LIB_COMM_TTC;-1
ENC-LIB_COMM_HT;1
ENC-LIB_COMM_TAXE;1
AQADE-PRIME_TTC;1
AQADE-PRIME_HT;-1
AQADE-TAXE_TSA;-1
AQADE-CHRG_GST;1
AQADE-CHRG_GST_CP;-1
AQADE-COMM_TTC;1
AQADE-COMM_TTC_CP;-1
AQMRB-PRIME_TTC;1
AQMRB-PRIME_HT;-1
AQMRB-TAXE_TSA;-1
AQMRB-TAXE_PARAFISC;-1
AQMRB-CHRG_GST;-1
AQMRB-CHRG_GST_CP;1
AQMRB-COMM_TTC;-1
AQMRB-COMM_TTC_CP;1
AQPMRB-PRIME_TTC_CP;-1
AQPMRBTTLBANQUE;1
AQPADE-PRIME_TTC_CP;-1
AQPADETTLBANQUE;1
AQP-LIB_COMM_TTC;-1
AQP-LIB_COMM_HT;1
AQP-LIB_COMM_TAXE;1
EQDTC-PRIME_TTC;1
EQDTC-PRIME_HT;-1
EQDTC-TAXE_TSA;-1
EQDTC-CHRG_GST;1
EQDTC-CHRG_GST_CP;-1
EQDTC-COMM_TTC;1
EQDTC-COMM_TTC_CP;-1
ENCDTC-PRIME_TTC_CP;-1
ENCDTCTTLBANQUE;1
AQDTC-PRIME_TTC;1
AQDTC-PRIME_HT;-1
AQDTC-TAXE_TSA;-1
AQDTC-CHRG_GST;1
AQDTC-CHRG_GST_CP;-1
AQDTC-COMM_TTC;1
AQDTC-COMM_TTC_CP;-1
AQPDTC-PRIME_TTC_CP;-1
AQPADETTLBANQUE;1
